cgpa_one,cgpa_two,cgpa_three,cgpa_four,cgpa_five,cgpa_six,cgpa_seven,final
2.8,2.7,2.5,2.2,2.1,2.2,2.6,3
2.9,2.8,2.6,2.3,2.2,2.3,2.7,3.05
3,2.9,2.7,2.4,2.3,2.4,2.8,3.1
3.1,3,2.8,2.5,2.4,2.5,2.9,3.15
3.2,3.1,2.9,2.6,2.5,2.6,3,3.2
3.3,3.2,3,2.7,2.6,2.7,3.1,3.25
3.4,3.3,3.1,2.8,2.7,2.8,3.2,3.3
3.5,3.4,3.2,2.9,2.8,2.9,3.3,3.35
3.6,3.5,3.3,3,2.9,3,3.4,3.4
3.7,3.6,3.4,3.1,3,3.1,3.5,3.45
2.7,2.6,2.4,2.1,2,2.1,2.5,2.95
2.8,2.7,2.5,2.2,2.1,2.2,2.6,3
2.9,2.8,2.6,2.3,2.2,2.3,2.7,3.05
3,2.9,2.7,2.4,2.3,2.4,2.8,3.1
3.1,3,2.8,2.5,2.4,2.5,2.9,3.15
3.2,3.1,2.9,2.6,2.5,2.6,3,3.2
3.3,3.2,3,2.7,2.6,2.7,3.1,3.25
3.4,3.3,3.1,2.8,2.7,2.8,3.2,3.3
3.5,3.4,3.2,2.9,2.8,2.9,3.3,3.35
3.6,3.5,3.3,3,2.9,3,3.4,3.4
2.6,2.5,2.3,2,1.9,2,2.4,2.9
2.7,2.6,2.4,2.1,2,2.1,2.5,2.95
2.8,2.7,2.5,2.2,2.1,2.2,2.6,3
2.9,2.8,2.6,2.3,2.2,2.3,2.7,3.05
3,2.9,2.7,2.4,2.3,2.4,2.8,3.1
3.1,3,2.8,2.5,2.4,2.5,2.9,3.15
3.2,3.1,2.9,2.6,2.5,2.6,3,3.2
3.3,3.2,3,2.7,2.6,2.7,3.1,3.25
3.4,3.3,3.1,2.8,2.7,2.8,3.2,3.3
3.5,3.4,3.2,2.9,2.8,2.9,3.3,3.35
2.5,2.4,2.2,1.9,1.8,1.9,2.3,2.85
2.6,2.5,2.3,2,1.9,2,2.4,2.9
2.7,2.6,2.4,2.1,2,2.1,2.5,2.95
2.8,2.7,2.5,2.2,2.1,2.2,2.6,3
2.9,2.8,2.6,2.3,2.2,2.3,2.7,3.05
3,2.9,2.7,2.4,2.3,2.4,2.8,3.1
3.1,3,2.8,2.5,2.4,2.5,2.9,3.15
3.2,3.1,2.9,2.6,2.5,2.6,3,3.2
3.3,3.2,3,2.7,2.6,2.7,3.1,3.25
1.5,1.6,1.4,1.7,2,1.9,1.88,1.9
